iter	RMSE
0	4761.819616
1	4620.93103
2	4475.065027
3	4346.813164
4	4222.693507
5	4100.086675
6	3973.130918
7	3851.645384
8	3737.161337
9	3616.097652
10	3511.735167
11	3397.707385
12	3298.526618
13	3203.401234
14	3108.151175
15	3021.341457
16	2942.93151
17	2861.404257
18	2779.569044
19	2697.943048
20	2624.698425
21	2555.326851
22	2482.177965
23	2417.506723
24	2357.844982
25	2292.571805
26	2231.467688
27	2171.54289
28	2116.005288
29	2062.798165
30	2016.041052
31	1967.056107
32	1918.51544
33	1877.072829
34	1828.892636
35	1786.97996
36	1746.247332
37	1703.718046
38	1660.621525
39	1624.059827
40	1588.625177
41	1548.053841
42	1515.078627
43	1486.096754
44	1453.755583
45	1423.661416
46	1394.118466
47	1366.208166
48	1339.385654
49	1315.039691
50	1289.720151
51	1264.060304
52	1241.562542
53	1220.01603
54	1199.494779
55	1179.366541
56	1157.536579
57	1138.359516
58	1116.914686
59	1096.256263
60	1078.755153
61	1063.168134
62	1044.483657
63	1030.523776
64	1018.214087
65	1002.824622
66	989.9865311
67	976.4095632
68	964.5127127
69	953.1076735
70	937.1452249
71	926.0636075
72	916.8999445
73	905.7020061
74	895.8028845
75	885.4199349
76	875.6526356
77	861.8970741
78	853.0310557
79	841.1839531
80	832.6319118
81	822.6362961
82	813.2798635
83	805.8788344
84	800.6067789
85	793.2935836
86	786.2212414
87	777.4518231
88	769.9878492
89	762.2681594
90	757.3224698
91	751.3654593
92	746.1434324
93	741.8229586
94	734.0519651
95	730.0231798
96	725.5417602
97	721.1134716
98	717.6518749
99	713.1452726
100	707.3816883
101	702.4962578
102	698.0126387
103	691.2841521
104	687.6880891
105	685.2378968
106	681.6223307
107	676.8397465
108	673.6861169
109	667.9998845
110	664.6355032
111	659.9422788
112	655.6345023
113	651.8652262
114	649.2371029
115	646.153503
116	641.9786906
117	638.5408707
118	635.6401244
119	633.5346711
120	630.6447028
121	627.2128073
122	621.4423756
123	617.1591133
124	614.3065974
125	609.5982633
126	607.3243823
127	604.7900883
128	600.7735445
129	596.0843517
130	592.698303
131	590.2244736
132	586.2126697
133	583.7060372
134	582.378059
135	580.6782264
136	577.2330178
137	574.2842195
138	571.6903698
139	568.8240594
140	566.5431065
141	564.0471727
142	562.3103483
143	559.5778326
144	556.8128499
145	555.3434691
146	552.7730131
147	548.2509566
148	546.1611444
149	543.0218116
150	539.9504394
151	539.1456769
152	535.543276
153	531.2948634
154	529.3698399
155	525.7999185
156	523.4037789
157	520.8412498
158	518.8511857
159	516.678846
160	514.1171715
161	512.5708053
162	511.4846844
163	509.5218158
164	507.626852
165	504.9497894
166	502.1307488
167	501.1209968
168	499.2758889
169	496.9774344
170	495.2046632
171	493.0922013
172	491.3071622
173	490.2163685
174	488.3199353
175	486.7476738
176	484.8686243
177	483.1541986
178	481.232979
179	479.323223
180	476.6528817
181	474.5821499
182	473.1622478
183	472.020851
184	470.3428196
185	468.4660282
186	466.9265731
187	465.5227583
188	464.3986594
189	461.5733444
190	459.7200536
191	458.5516183
192	457.3480279
193	456.100229
194	455.0921767
195	453.5083146
196	451.3087435
197	449.5735834
198	446.7321076
199	442.8893214
200	441.4573376
201	439.7333457
202	437.5112165
203	436.4705078
204	433.1869202
205	430.344889
206	428.5702001
207	425.030587
208	423.5320923
209	421.2773522
210	419.6989506
211	417.7071326
212	416.614972
213	415.5191212
214	413.3938213
215	410.6406172
216	408.5389068
217	406.5846944
218	405.4700901
219	403.0092407
220	401.6198765
221	400.1867139
222	397.3182247
223	396.0647948
224	394.2113953
225	392.9954094
226	389.7855829
227	388.7331894
228	387.7783116
229	386.2148005
230	384.2627761
231	383.0355764
232	381.6795597
233	380.8949158
234	379.1572031
235	377.6307017
236	376.4929882
237	375.1712943
238	373.5755347
239	371.7456335
240	369.8062432
241	367.8948712
242	366.8020372
243	365.6497017
244	362.7887923
245	361.9462282
246	359.4612811
247	358.710489
248	357.6319135
249	355.9689996
250	353.8489274
251	351.6654415
252	350.6831566
253	349.1746884
254	347.9455088
255	345.9941115
256	344.0654327
257	342.9714773
258	340.7252711
259	338.7671417
260	337.5611584
261	335.668478
262	334.7009362
263	332.8461501
264	331.2139522
265	329.9756813
266	328.9450186
267	327.664063
268	326.7887458
269	325.9809573
270	324.227262
271	322.4669305
272	321.4459333
273	319.4635892
274	318.3673268
275	317.3703876
276	315.2566914
277	314.5466911
278	314.0070932
279	313.2021509
280	311.7642285
281	310.5853454
282	309.0543516
283	307.9565802
284	306.3863293
285	305.4059404
286	304.0667902
287	302.4016793
288	301.4103034
289	300.7612451
290	299.6707377
291	298.9204422
292	297.8560206
293	295.7273154
294	294.553845
295	293.7350907
296	292.8944887
297	292.1720308
298	290.9956904
299	290.5184379
300	290.1821376
301	289.5987671
302	289.1092891
303	288.1459883
304	287.5402105
305	285.9927968
306	284.7296304
307	282.6874156
308	281.8581712
309	280.3794205
310	279.6840869
311	279.2945918
312	278.0269896
313	277.1626392
314	275.8056344
315	275.3519819
316	274.7099567
317	273.354581
318	272.0688192
319	270.9471754
320	270.3320473
321	269.3789352
322	268.5024368
323	267.7769673
324	266.9664962
325	265.4102285
326	264.7156793
327	263.3423382
328	262.8379901
329	262.4849947
330	261.9693659
331	261.4793591
332	260.3169206
333	258.8611279
334	257.6073916
335	256.9927997
336	256.1661294
337	255.2284794
338	254.8676641
339	254.1760059
340	253.6313197
341	252.5229634
342	251.7093232
343	250.4626675
344	249.4811096
345	249.0093036
346	248.3939838
347	247.8965803
348	246.8453787
349	246.1455921
350	245.699642
351	245.071492
352	244.3345862
353	243.2324029
354	242.4275933
355	241.7050533
356	241.0660975
357	240.6945609
358	239.7359617
359	238.8360833
360	238.3766946
361	237.8651266
362	237.3814231
363	236.5182527
364	235.8941969
365	235.1658985
366	234.3847863
367	233.8304446
368	233.428091
369	232.8062456
370	232.5729882
371	231.8369502
372	230.3869369
373	229.8725507
374	228.9854291
375	228.0504749
376	227.2036931
377	227.0209888
378	226.1733239
379	225.7596301
380	225.2333997
381	224.7792746
382	223.9251074
383	223.1266746
384	222.3270396
385	221.4251535
386	220.7478903
387	219.901244
388	219.4316678
389	218.7249752
390	218.0757674
391	216.9714053
392	216.3221028
393	215.4417099
394	214.7095159
395	213.5431458
396	212.6912237
397	212.2262161
398	211.3428665
399	210.4927667
400	209.6443858
401	209.2920223
402	208.525833
403	207.6542905
404	206.8948628
405	206.1893883
406	205.7655363
407	205.0350274
408	204.6255579
409	203.9141643
410	203.3979676
411	202.6405396
412	201.994582
413	201.4458962
414	200.7547113
415	200.2375196
416	199.6918765
417	199.0677046
418	198.4108174
419	198.0596528
420	197.7202922
421	196.8107739
422	196.2272513
423	195.6711411
424	195.0629046
425	194.4156886
426	193.8368947
427	193.2681485
428	192.9664478
429	192.6823257
430	192.2260377
431	191.5683223
432	191.0112095
433	190.583043
434	189.7312231
435	189.4363319
436	188.980375
437	188.4325658
438	187.8032817
439	187.2633766
440	186.8879049
441	186.6019765
442	186.282911
443	186.0541655
444	185.3446679
445	184.895849
446	184.2357282
447	183.4432931
448	183.0930204
449	182.4527247
450	181.8441
451	181.5003802
452	180.9015457
453	180.5746137
454	179.8665591
455	179.1208412
456	178.7491907
457	178.0985197
458	177.7885953
459	177.2348057
460	176.6111931
461	176.1806432
462	175.7374452
463	174.849029
464	174.2122939
465	173.8738686
466	173.6170387
467	173.1403917
468	172.4713644
469	171.9235616
470	171.3902727
471	170.9426232
472	170.3296618
473	169.849145
474	169.2449663
475	168.711064
476	168.246738
477	167.8101797
478	167.2527993
479	166.7321395
480	166.1310193
481	165.7105259
482	165.3824327
483	165.1269854
484	164.6875043
485	164.003299
486	163.5934075
487	163.121819
488	162.4923156
489	162.0188569
490	161.662246
491	161.2036817
492	160.6947049
493	160.3998914
494	160.1309171
495	159.5700812
496	159.0874747
497	158.842443
498	158.3743931
499	157.9715363
500	157.7895587
501	157.4292416
502	157.1982876
503	156.9246756
504	156.5656171
505	156.075209
506	155.5262442
507	155.0976846
508	154.8417466
509	154.5405167
510	154.1515525
511	153.7530932
512	153.3968913
513	153.1774004
514	152.708457
515	152.1596243
516	151.8916557
517	151.7796422
518	151.6690079
519	151.3470208
520	151.0505468
521	150.8740435
522	150.627512
523	150.1764074
524	149.9515087
525	149.6412241
526	149.3860496
527	149.0400846
528	148.7920064
529	148.4111491
530	147.8750479
531	147.4125186
532	147.1136472
533	146.9042442
534	146.5367186
535	146.1922287
536	145.7383965
537	145.6502793
538	145.2434418
539	145.1809822
540	144.7472948
541	144.2629723
542	143.8598502
543	143.7768512
544	143.3926781
545	143.0333052
546	142.5518466
547	142.2110651
548	141.6002151
549	141.4545947
550	141.1222948
551	140.7363865
552	140.4566568
553	140.1020762
554	139.8429364
555	139.3985802
556	139.1509171
557	138.6497767
558	138.2734084
559	137.9350673
560	137.4850851
561	137.0655314
562	136.6699177
563	136.2055742
564	135.8622862
565	135.6123067
566	135.2112282
567	134.8767769
568	134.560179
569	134.2324184
570	133.9866109
571	133.6793665
572	133.4532414
573	132.8877992
574	132.3373021
575	131.9097351
576	131.5679347
577	131.244636
578	130.9810736
579	130.7169789
580	130.2666123
581	130.0104896
582	129.6762465
583	129.4741335
584	129.204394
585	129.0220378
586	128.7922122
587	128.2783958
588	128.1234051
589	127.9517359
590	127.7263978
591	127.4515735
592	127.1362378
593	126.7853928
594	126.5688209
595	126.4800713
596	126.2292067
597	126.1120173
598	125.7180503
599	125.4593313
600	125.1891332
601	124.8819534
602	124.5666738
603	124.4030184
604	123.9975187
605	123.8043306
606	123.5408034
607	123.2965924
608	123.1250043
609	122.8281007
610	122.6615666
611	122.3038908
612	122.155028
613	121.7473228
614	121.5846568
615	121.3705276
616	121.0452595
617	120.7447578
618	120.5182202
619	120.3533377
620	120.0368716
621	119.6743336
622	119.4361885
623	119.2317418
624	119.0507258
625	118.8606298
626	118.4538624
627	118.1254283
628	118.0183815
629	117.7810562
630	117.3967183
631	117.2527744
632	116.976163
633	116.6553169
634	116.4400447
635	116.2416967
636	116.0894413
637	115.8822905
638	115.7331921
639	115.5040532
640	115.3719606
641	115.1024362
642	114.8659569
643	114.5529063
644	114.26016
645	113.8781818
646	113.5591751
647	113.4105592
648	113.2468401
649	112.9171018
650	112.6465054
651	112.4899019
652	112.2025602
653	111.9583932
654	111.827274
655	111.6875077
656	111.3499619
657	111.2265003
658	110.9877221
659	110.7793875
660	110.6307828
661	110.4325151
662	110.1496445
663	109.9428177
664	109.7013714
665	109.4519275
666	109.1977402
667	108.9809172
668	108.781604
669	108.5310599
670	108.2397823
671	108.1071315
672	107.9205879
673	107.6806446
674	107.4457892
675	107.3292618
676	107.1356483
677	106.9482521
678	106.7014422
679	106.4998993
680	106.237846
681	106.1434065
682	105.9372326
683	105.7405627
684	105.4091561
685	105.0971665
686	104.8227955
687	104.644095
688	104.3348344
689	104.1678751
690	103.7794085
691	103.5923089
692	103.2309806
693	103.0266951
694	102.925895
695	102.6854842
696	102.5697032
697	102.3501625
698	102.1267548
699	101.9401039
700	101.5929223
701	101.3739995
702	101.06844
703	100.94723
704	100.7391607
705	100.6514814
706	100.5196969
707	100.3099366
708	100.0174538
709	99.7576337
710	99.48859402
711	99.37376278
712	99.25779075
713	99.00959493
714	98.90690005
715	98.58461257
716	98.47557574
717	98.29016098
718	98.17636253
719	98.0162394
720	97.82134415
721	97.63114804
722	97.46513093
723	97.23364617
724	97.02388612
725	96.72778271
726	96.61990329
727	96.54688398
728	96.39032658
729	96.2473011
730	96.07860001
731	95.89193599
732	95.65384391
733	95.4210018
734	95.19789414
735	95.06076177
736	94.95378022
737	94.84709323
738	94.61677907
739	94.49542405
740	94.27174851
741	94.08985289
742	93.88926946
743	93.74605449
744	93.63614941
745	93.49751102
746	93.36533056
747	93.26058074
748	93.08211627
749	92.89866344
750	92.77783968
751	92.56410933
752	92.31167981
753	92.24393247
754	92.01211108
755	91.82238692
756	91.68049612
757	91.52488937
758	91.32571255
759	91.13352994
760	90.95575736
761	90.75797617
762	90.55163309
763	90.43061299
764	90.31891611
765	90.17718795
766	90.13107832
767	89.85565861
768	89.6963992
769	89.61468193
770	89.51188277
771	89.42968822
772	89.29030554
773	89.0890363
774	88.97070949
775	88.79286496
776	88.73367561
777	88.62595725
778	88.44889214
779	88.28110497
780	88.13350614
781	88.01766668
782	87.85150839
783	87.68203771
784	87.52460306
785	87.42872648
786	87.30389152
787	87.13617137
788	86.87757662
789	86.8070068
790	86.71190961
791	86.5989173
792	86.47067853
793	86.41311376
794	86.31615336
795	86.04700493
796	85.91474535
797	85.71912306
798	85.61128466
799	85.43793071
800	85.35346964
801	85.21570644
802	85.13400911
803	85.05225988
804	84.90596884
805	84.7277913
806	84.56729495
807	84.47062329
808	84.34890066
809	84.24651418
810	84.16224008
811	84.11139333
812	84.02143419
813	83.92490575
814	83.78137372
815	83.64954272
816	83.47856521
817	83.27020371
818	83.18137331
819	82.97437866
820	82.90099715
821	82.83083441
822	82.72410846
823	82.66858383
824	82.52274757
825	82.43972902
826	82.25065151
827	82.04213256
828	81.88780884
829	81.71896294
830	81.66059181
831	81.55572377
832	81.38625821
833	81.26045252
834	81.17813884
835	81.11609846
836	80.96645438
837	80.85680034
838	80.71891258
839	80.6045248
840	80.45011209
841	80.30065282
842	80.22837954
843	80.08454817
844	80.02578775
845	79.90676047
846	79.78001802
847	79.60832566
848	79.49296411
849	79.36016016
850	79.28754624
851	79.1937883
852	79.07363584
853	78.96681575
854	78.76286646
855	78.57220722
856	78.46416179
857	78.33877858
858	78.12656112
859	78.0339121
860	77.88515034
861	77.76091567
862	77.67118762
863	77.44563562
864	77.26663266
865	77.05968691
866	77.02035896
867	76.77784893
868	76.62533868
869	76.55210358
870	76.52512683
871	76.46359402
872	76.27698585
873	76.09352549
874	75.96336842
875	75.78674523
876	75.71617573
877	75.59264143
878	75.49428743
879	75.45568419
880	75.31057718
881	75.22407553
882	75.09431019
883	74.97510072
884	74.9029158
885	74.79796482
886	74.72766598
887	74.63268585
888	74.50475475
889	74.42985485
890	74.22520522
891	74.02336917
892	73.91743278
893	73.79212843
894	73.74731655
895	73.68116411
896	73.55702565
897	73.47858479
898	73.35771434
899	73.27571049
900	73.14469051
901	73.06324382
902	72.90482437
903	72.84168149
904	72.71499573
905	72.62512699
906	72.39655429
907	72.31302304
908	72.26771882
909	72.23229388
910	72.14132631
911	72.10063654
912	72.05719215
913	71.98422084
914	71.88247373
915	71.74178785
916	71.64339469
917	71.59513367
918	71.47776398
919	71.39435073
920	71.32047231
921	71.19923615
922	71.12515226
923	71.07489108
924	70.94509319
925	70.8505129
926	70.78301196
927	70.72142675
928	70.6365666
929	70.50285023
930	70.46098833
931	70.34573764
932	70.32676812
933	70.20787126
934	70.10839621
935	70.03017269
936	69.92754346
937	69.83833351
938	69.77635888
939	69.70762617
940	69.63441641
941	69.52521734
942	69.41831174
943	69.30446365
944	69.19363477
945	69.15254329
946	69.04425136
947	68.94479713
948	68.78252813
949	68.74940556
950	68.61645134
951	68.48825381
952	68.39248086
953	68.28810628
954	68.27878737
955	68.17794646
956	68.06246226
957	67.9900471
958	67.84135778
959	67.77814106
960	67.68514346
961	67.5391683
962	67.34291422
963	67.17796712
964	67.00716818
965	66.86637376
966	66.75207826
967	66.60951089
968	66.4881944
969	66.4234479
970	66.32338163
971	66.23055161
972	66.15082757
973	66.07909272
974	65.90323508
975	65.83898205
976	65.61667097
977	65.50568642
978	65.47429287
979	65.3619323
980	65.28119216
981	65.14624031
982	64.98772514
983	64.92826935
984	64.8299975
985	64.68598284
986	64.56884927
987	64.49907348
988	64.36994273
989	64.26226237
990	64.20133957
991	64.11986812
992	64.05451877
993	63.95755969
994	63.8741069
995	63.83975787
996	63.73834617
997	63.60015763
998	63.51705885
999	63.45344934
