iter	Passed	Remaining
0	7	7889
1	40	20212
2	54	18242
3	61	15209
4	64	12888
5	68	11339
6	72	10234
7	75	9393
8	78	8602
9	80	7960
10	82	7431
11	85	7001
12	87	6629
13	92	6485
14	94	6199
15	96	5905
16	98	5687
17	100	5493
18	102	5293
19	105	5180
20	107	5022
21	109	4871
22	111	4738
23	113	4624
24	115	4505
25	117	4395
26	120	4351
27	124	4311
28	127	4254
29	129	4174
30	131	4094
31	132	4020
32	137	4029
33	141	4033
34	145	3997
35	147	3961
36	151	3940
37	153	3879
38	155	3821
39	156	3766
40	158	3712
41	160	3661
42	162	3612
43	164	3566
44	167	3546
45	168	3504
46	170	3463
47	172	3424
48	174	3385
49	176	3348
50	178	3316
51	182	3325
52	184	3296
53	186	3264
54	188	3232
55	189	3202
56	191	3173
57	193	3145
58	199	3179
59	201	3152
60	202	3124
61	204	3098
62	206	3072
63	208	3047
64	211	3044
65	214	3030
66	216	3008
67	217	2985
68	219	2964
69	221	2942
70	226	2961
71	229	2957
72	233	2960
73	237	2970
74	240	2963
75	244	2970
76	248	2981
77	251	2976
78	254	2970
79	258	2977
80	267	3035
81	275	3085
82	279	3088
83	283	3088
84	286	3084
85	292	3104
86	296	3108
87	299	3105
88	306	3138
89	309	3131
90	312	3122
91	315	3114
92	318	3109
93	322	3106
94	325	3096
95	327	3084
96	330	3076
97	335	3083
98	338	3081
99	341	3074
100	345	3076
101	348	3069
102	352	3065
103	355	3058
104	358	3058
105	361	3052
106	366	3058
107	369	3052
108	372	3045
109	384	3107
110	388	3112
111	392	3114
112	400	3142
113	403	3136
114	411	3163
115	417	3181
116	421	3177
117	424	3174
118	428	3174
119	433	3177
120	436	3168
121	439	3160
122	443	3161
123	446	3152
124	449	3144
125	463	3216
126	466	3209
127	470	3207
128	478	3230
129	483	3233
130	488	3243
131	492	3237
132	496	3235
133	499	3230
134	502	3220
135	506	3218
136	509	3211
137	512	3203
138	515	3195
139	519	3194
140	523	3186
141	526	3183
142	529	3170
143	530	3156
144	535	3156
145	538	3148
146	541	3140
147	543	3126
148	544	3112
149	546	3098
150	551	3101
151	554	3093
152	556	3081
153	558	3068
154	560	3054
155	562	3041
156	567	3046
157	570	3041
158	572	3030
159	576	3024
160	581	3030
161	584	3023
162	588	3020
163	592	3022
164	597	3024
165	600	3017
166	603	3012
167	606	3005
168	614	3021
169	618	3017
170	623	3020
171	628	3024
172	631	3018
173	634	3011
174	638	3011
175	641	3005
176	645	2999
177	648	2992
178	651	2986
179	656	2990
180	660	2987
181	663	2981
182	666	2974
183	681	3020
184	686	3024
185	689	3017
186	694	3017
187	698	3016
188	703	3019
189	707	3016
190	711	3013
191	716	3015
192	720	3011
193	726	3018
194	731	3021
195	735	3018
196	740	3017
197	743	3012
198	748	3011
199	751	3004
200	754	3000
201	757	2994
202	764	3000
203	767	2994
204	769	2985
205	771	2974
206	773	2963
207	779	2968
208	782	2961
209	785	2954
210	788	2947
211	793	2948
212	796	2942
213	798	2931
214	799	2920
215	801	2910
216	803	2900
217	808	2899
218	811	2893
219	813	2882
220	815	2872
221	816	2862
222	818	2852
223	822	2848
224	825	2843
225	827	2834
226	829	2824
227	831	2814
228	833	2805
229	835	2795
230	839	2794
231	841	2786
232	843	2776
233	845	2767
234	847	2759
235	849	2749
236	854	2750
237	857	2745
238	859	2736
239	862	2732
240	864	2723
241	869	2722
242	871	2715
243	873	2706
244	875	2698
245	877	2689
246	879	2680
247	884	2680
248	887	2675
249	889	2667
250	890	2658
251	892	2649
252	894	2641
253	899	2641
254	902	2637
255	904	2628
256	906	2620
257	908	2612
258	910	2603
259	914	2602
260	917	2597
261	919	2589
262	922	2584
263	924	2578
264	930	2581
265	934	2577
266	936	2569
267	938	2562
268	939	2553
269	941	2546
270	945	2544
271	949	2540
272	951	2534
273	953	2527
274	955	2519
275	960	2518
276	963	2514
277	966	2511
278	968	2503
279	970	2495
280	974	2493
281	977	2489
282	979	2481
283	981	2474
284	983	2466
285	984	2459
286	986	2451
287	991	2451
288	994	2446
289	996	2439
290	998	2431
291	999	2424
292	1001	2417
293	1006	2416
294	1009	2411
295	1010	2404
296	1012	2397
297	1014	2390
298	1016	2382
299	1021	2382
300	1024	2378
301	1027	2374
302	1030	2371
303	1036	2373
304	1040	2371
305	1043	2367
306	1047	2364
307	1053	2367
308	1056	2363
309	1059	2359
310	1106	2452
311	1112	2453
312	1122	2464
313	1127	2464
314	1134	2467
315	1140	2467
316	1145	2467
317	1173	2516
318	1180	2521
319	1186	2521
320	1191	2520
321	1198	2523
322	1216	2550
323	1223	2552
324	1232	2558
325	1241	2566
326	1251	2575
327	1273	2608
328	1284	2619
329	1290	2619
330	1307	2643
331	1314	2643
332	1321	2646
333	1329	2651
334	1335	2651
335	1344	2656
336	1399	2752
337	1405	2753
338	1411	2752
339	1418	2753
340	1425	2754
341	1451	2792
342	1458	2793
343	1476	2816
344	1483	2815
345	1492	2820
346	1499	2822
347	1513	2835
348	1524	2843
349	1536	2852
350	1539	2846
351	1599	2945
352	1605	2941
353	1617	2952
354	1620	2944
355	1623	2937
356	1626	2930
357	1629	2922
358	1633	2916
359	1636	2909
360	1640	2904
361	1648	2906
362	1652	2899
363	1656	2894
364	1659	2887
365	1665	2885
366	1668	2877
367	1671	2871
368	1675	2865
369	1680	2860
370	1682	2853
371	1686	2846
372	1689	2839
373	1693	2834
374	1695	2826
375	1697	2817
376	1699	2808
377	1701	2799
378	1703	2790
379	1704	2781
380	1708	2775
381	1710	2766
382	1712	2758
383	1713	2749
384	1715	2740
385	1718	2734
386	1720	2725
387	1724	2719
388	1726	2711
389	1727	2702
390	1729	2694
391	1731	2685
392	1733	2677
393	1735	2669
394	1738	2662
395	1740	2654
396	1742	2646
397	1744	2638
398	1746	2630
399	1748	2622
400	1750	2614
401	1753	2607
402	1755	2599
403	1756	2591
404	1758	2583
405	1760	2576
406	1762	2568
407	1764	2560
408	1766	2552
409	1769	2546
410	1771	2538
411	1773	2531
412	1775	2523
413	1777	2516
414	1779	2508
415	1781	2500
416	1784	2495
417	1786	2488
418	1788	2480
419	1790	2472
420	1792	2465
421	1794	2457
422	1796	2449
423	1800	2445
424	1802	2438
425	1804	2431
426	1806	2423
427	1807	2416
428	1809	2408
429	1811	2401
430	1815	2397
431	1817	2389
432	1819	2382
433	1821	2375
434	1823	2367
435	1824	2360
436	1826	2353
437	1830	2348
438	1832	2341
439	1834	2334
440	1836	2327
441	1838	2320
442	1839	2313
443	1842	2306
444	1845	2302
445	1847	2295
446	1849	2288
447	1851	2281
448	1853	2274
449	1855	2267
450	1857	2260
451	1860	2255
452	1863	2250
453	1866	2244
454	1869	2239
455	1871	2233
456	1874	2227
457	1877	2221
458	1879	2214
459	1880	2207
460	1882	2201
461	1886	2196
462	1887	2189
463	1891	2184
464	1893	2178
465	1895	2171
466	1896	2165
467	1898	2158
468	1900	2151
469	1902	2145
470	1905	2140
471	1907	2133
472	1909	2127
473	1911	2120
474	1912	2114
475	1914	2107
476	1916	2101
477	1918	2095
478	1921	2089
479	1923	2083
480	1924	2077
481	1926	2070
482	1928	2064
483	1930	2058
484	1932	2051
485	1934	2045
486	1936	2039
487	1938	2033
488	1940	2027
489	1942	2021
490	1944	2015
491	1945	2009
492	1947	2003
493	1951	1998
494	1953	1992
495	1955	1987
496	1958	1982
497	1960	1976
498	1962	1970
499	1964	1964
500	1966	1959
501	1968	1953
502	1970	1947
503	1972	1941
504	1974	1935
505	1976	1929
506	1977	1923
507	1980	1918
508	1982	1912
509	1984	1906
510	1986	1900
511	1988	1894
512	1990	1889
513	1992	1883
514	1993	1877
515	1997	1873
516	1999	1867
517	2001	1862
518	2003	1856
519	2004	1850
520	2006	1844
521	2008	1839
522	2012	1835
523	2015	1831
524	2019	1826
525	2021	1821
526	2022	1815
527	2024	1809
528	2028	1805
529	2030	1800
530	2031	1794
531	2033	1789
532	2035	1783
533	2037	1777
534	2039	1772
535	2042	1767
536	2044	1762
537	2045	1756
538	2047	1751
539	2049	1745
540	2051	1740
541	2052	1734
542	2054	1729
543	2057	1724
544	2059	1718
545	2060	1713
546	2062	1708
547	2064	1702
548	2066	1697
549	2068	1692
550	2071	1687
551	2073	1682
552	2075	1677
553	2076	1671
554	2078	1666
555	2080	1661
556	2083	1657
557	2087	1653
558	2090	1649
559	2093	1645
560	2096	1640
561	2099	1636
562	2103	1632
563	2106	1628
564	2109	1624
565	2111	1618
566	2113	1613
567	2114	1608
568	2118	1604
569	2121	1600
570	2123	1595
571	2125	1590
572	2127	1585
573	2129	1580
574	2131	1575
575	2134	1571
576	2137	1567
577	2139	1562
578	2141	1557
579	2143	1551
580	2145	1547
581	2151	1544
582	2153	1540
583	2155	1535
584	2157	1530
585	2159	1525
586	2160	1520
587	2164	1516
